Country,Clicks,Impressions,CTR,Position
United Kingdom,109,304,35.86%,12.91
Switzerland,1,1,100%,1
United States,0,66,0%,26.42
Brazil,0,24,0%,54.88
India,0,8,0%,35.62
Ireland,0,7,0%,12.43
Russia,0,7,0%,38.86
Germany,0,6,0%,24.17
Israel,0,5,0%,3.4
Jamaica,0,4,0%,11.75
South Korea,0,4,0%,33
Vietnam,0,4,0%,38
France,0,4,0%,50.25
Indonesia,0,3,0%,25.67
Canada,0,3,0%,45
Colombia,0,3,0%,46.33
Spain,0,3,0%,49
South Africa,0,3,0%,59.67
Saudi Arabia,0,2,0%,2
Hong Kong,0,2,0%,2.5
Belgium,0,2,0%,10
Turkey,0,2,0%,21.5
Sweden,0,2,0%,32
Australia,0,2,0%,38
Poland,0,2,0%,38.5
Philippines,0,2,0%,45
Tunisia,0,2,0%,47.5
Egypt,0,2,0%,71.5
Bangladesh,0,1,0%,1
Bulgaria,0,1,0%,1
Finland,0,1,0%,2
Denmark,0,1,0%,4
Portugal,0,1,0%,4
New Zealand,0,1,0%,7
Italy,0,1,0%,9
Norway,0,1,0%,9
Peru,0,1,0%,23
Japan,0,1,0%,34
Cyprus,0,1,0%,39
Malaysia,0,1,0%,46
Ecuador,0,1,0%,57
Azerbaijan,0,1,0%,76
Argentina,0,1,0%,77
Kenya,0,1,0%,77
Senegal,0,1,0%,85