Top pages,Clicks,Impressions,CTR,Position
https://www.hcidirect.co.uk/,96,243,39.51%,8.84
https://www.hcidirect.co.uk/home/,5,73,6.85%,2.56
https://www.hcidirect.co.uk/product-tag/steel-chairs/,3,136,2.21%,23.57
https://www.hcidirect.co.uk/product-tag/banquet-chairs/,2,33,6.06%,15.09
https://www.hcidirect.co.uk/product-category/chairs/,2,25,8%,7
https://www.hcidirect.co.uk/product/8ft-rectangle-banquet-trestle-table/,1,62,1.61%,23.29
https://www.hcidirect.co.uk/product/bubble-arm-chair-steel-wood-look-frame-beige-faux-leather-cover/,1,19,5.26%,12.53
https://www.hcidirect.co.uk/1-2/,1,9,11.11%,3.33
https://www.hcidirect.co.uk/product/sandringham-chair/,1,1,100%,1
https://www.hcidirect.co.uk/product/stock-brown-chair/?gQT=1,1,1,100%,6
https://www.hcidirect.co.uk/damage-delivery-policy/,0,97,0%,3.64
https://www.hcidirect.co.uk/product/6ft-rectangle-banquet-trestle-table/,0,45,0%,49.38
https://www.hcidirect.co.uk/product/berkeley-chair-aluminium-wood-look-frame-beige-faux-leather-cover/,0,37,0%,27.11
https://www.hcidirect.co.uk/product/queen-silver-chair-steel-silver-frame-grey-fabric/,0,19,0%,24.79
https://www.hcidirect.co.uk/product/berkeley-chair-with-arms-aluminium-wood-look-frame-beige-faux-leather-cover/,0,17,0%,7.41
https://www.hcidirect.co.uk/product/sandringham-chair-aluminium-wood-look-frame-taupe-faux-leather/,0,10,0%,87
https://www.hcidirect.co.uk/product/1830cm-round-table/,0,8,0%,6.62
https://www.hcidirect.co.uk/product/queen-gold-chair-steel-gold-frame-mid-brown-fabric/,0,8,0%,28.75
https://www.hcidirect.co.uk/interior-decorator-2/,0,7,0%,2.43
https://www.hcidirect.co.uk/product-category/tables/,0,5,0%,4.4
https://www.hcidirect.co.uk/product/bubble-chair-steel-wood-look-frame-beige-faux-leather-cover/,0,4,0%,6.75
https://www.hcidirect.co.uk/about/,0,4,0%,7
https://www.hcidirect.co.uk/contact/,0,4,0%,7
https://www.hcidirect.co.uk/products/,0,4,0%,7
https://www.hcidirect.co.uk/product-tag/banquet-tables/,0,3,0%,2.33
https://www.hcidirect.co.uk/shop/,0,3,0%,7
https://www.hcidirect.co.uk/product/5ft-round-banquet-trestle-table/?gQT=1,0,2,0%,1
https://www.hcidirect.co.uk/product/1830-x-76cm-rectangle-table/,0,2,0%,2.5
https://www.hcidirect.co.uk/product/1830-x-76cm-rectangle-table-2/,0,2,0%,3
https://www.hcidirect.co.uk/product/berkeley-chair/,0,2,0%,3.5
https://www.hcidirect.co.uk/product/1520cm-round-table/,0,2,0%,4
https://www.hcidirect.co.uk/product/berkeley-chair-with-arms/,0,2,0%,4.5
https://www.hcidirect.co.uk/product/bubble-chair-with-arms/,0,2,0%,4.5
https://www.hcidirect.co.uk/product/grey-aluminium-square-back/,0,2,0%,5.5
https://www.hcidirect.co.uk/product/1830cm-round-table/?gQT=1,0,1,0%,1
https://www.hcidirect.co.uk/product/5ft-round-banquet-trestle-table/,0,1,0%,1
https://www.hcidirect.co.uk/product/8ft-rectangle-banquet-trestle-table/?gQT=1,0,1,0%,1
https://www.hcidirect.co.uk/product/aluminum-silver-chair/,0,1,0%,1
https://www.hcidirect.co.uk/product/sandringham-chair/?gQT=2,0,1,0%,1
https://www.hcidirect.co.uk/product-tag/restaurant-chairs/,0,1,0%,2
https://www.hcidirect.co.uk/product/aluminum-gold-chair/,0,1,0%,4
https://www.hcidirect.co.uk/product-tag/aluminium-chairs/,0,1,0%,6
https://www.hcidirect.co.uk/product/berkeley-chair-with-arms/?gQT=1,0,1,0%,6
https://www.hcidirect.co.uk/product/berkeley-chair/?gQT=1,0,1,0%,6
https://www.hcidirect.co.uk/product/stock-brown-chair/,0,1,0%,6
https://www.hcidirect.co.uk/product/bubble-arm-chair-steel-wood-look-frame-beige-faux-leather-cover/?gQT=1,0,1,0%,8
https://www.hcidirect.co.uk/sample-page/,0,1,0%,8
https://www.hcidirect.co.uk/product/kingsbridge/,0,1,0%,9
https://www.hcidirect.co.uk/product-tag/trestle-table/,0,1,0%,10